date,news
2021-12-29,"December 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, January 5, 2022"
2021-12-27,Is Automatic Data Processing (ADP) Outperforming Other Business Services Stocks This Year?
2021-12-22,"ADP to Announce Second Quarter Fiscal 2022 Financial Results on January 26, 2022"
2021-12-16,"Roll™ by ADP® is Now Available in Spanish with Added Features, Expanding Small Businesses' Power to Manage Payroll"
2021-12-16,'Tis the Season for a 'Staycation': More Canadians Taking Vacation Time - ADP Survey
2021-12-16,Automatic Data Processing Inc (ADP) President & CEO Carlos A Rodriguez Sold $20. ...
2021-12-13,"T. Rowe Price Exchange-Traded Funds, Inc. Buys Microsoft Corp, Amazon. ..."
2021-12-13,NelsonHall Names ADP a Leader in HCM Technology NEAT 2021 for SMB and Mid/Large Market Segments
2021-12-11,Automatic Data Processing Inc (ADP) President & CEO Carlos A Rodriguez Sold $3. ...
2021-12-10,Automatic Data Processing Inc (ADP) President & CEO Carlos A Rodriguez Sold $13. ...
2021-12-09,Has Automatic Data Processing (ADP) Outpaced Other Business Services Stocks This Year?
2021-12-08,"Automatic Data Processing, Inc. -- Moody's announces completion of a periodic review of ratings of Automatic Data Processing, Inc."
2021-12-08,Canadians Concerned About Post-Pandemic 'Proximity Bias': ADP Canada Survey
2021-12-07,Hedge Funds Are Betting On Automatic Data Processing (ADP)
2021-12-04,"Automatic Data Processing, Inc. (NASDAQ:ADP) Goes Ex-Dividend Soon"
2021-12-03,"Unemployment Rate 4.2%, Jobs Strangely Low"
2021-12-03,"Here's What Automatic Data Processing, Inc.'s (NASDAQ:ADP) Shareholder Ownership Structure Looks Like"
2021-12-01,"ADP National Employment Report: Private Sector Employment Increased by 534,000 Jobs in November"
2021-11-24,"November 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, December 1, 2021"
2021-11-23,Automatic Data Processing (ADP) Hits New 52-Week High: Here's Why
2021-11-23,Is Automatic Data Processing (ADP) Stock Outpacing Its Business Services Peers This Year?
2021-11-21,Ray Dalio is Doubling Down on These 10 Stocks
2021-11-17,3 Business Services Stocks With Solid Dividend Payouts
2021-11-17,In 2022 Workers Will Define the Future of Work
2021-11-16,"Walmart Partnership Aids Green Dot (GDOT), Cost Woes Hurt"
2021-11-15,Everest Group Names ADP a Leader in Multi-country Payroll Solutions PEAK Matrix Assessment 2021
2021-11-11,"Media Alert: October 2021 ADP Canada National Employment Report to be released on Thursday, November 18, 2021"
2021-11-11,Cedar Rock Capital: Andy Brown’s Top 8 Stock Picks
2021-11-10,ADP hikes dividend for the 47th year in a row
2021-11-10,ADP Increases Cash Dividend; Marks 47th Consecutive Year of Dividend Increases
2021-11-09,ADP's WorkMarket Gets a New Look and New Features
